code,name,mainFoodType,detailedFoodType,calorie,protein,fat,carbohydrate,taste,mainIngredient,secondaryIngredient,cookMethod
D018000,가래떡,곡류 및 서류,떡류,195.16,3.92,0.51,43.73,담백한맛,쌀,설탕,굽기
D018001,깨송편,곡류 및 서류,떡류,219.01,4.65,3.23,42.83,단맛,곡물,깨소금,굽기
D018002,꿀떡,곡류 및 서류,떡류,228.48,3.74,1.73,49.48,단맛,쌀,꿀,찌기
D018003,모듬찰떡,곡류 및 서류,떡류,218.16,6.78,2.44,42.27,단맛,쌀,설탕,끓이기
D018004,백설기,곡류 및 서류,떡류,229.5,3.71,1.45,50.4,단맛,곡물,팥,끓이기
D018005,쑥절편,곡류 및 서류,떡류,192.12,7.72,2.42,34.87,단맛,채소류,설탕,찌기
D018006,약식,곡류 및 서류,곡류,219.87,4.21,2.45,45.24,담백한맛,밀가루,대파,끓이기
D018007,인절미,곡류 및 서류,떡류,242.26,5.64,2.16,50.07,단맛,쌀,팥,무치기
D018008,증편,곡류 및 서류,떡류,200.1,3.17,1.2,44.15,단맛,쌀,설탕,찌기
D018012,참깨경단,곡류 및 서류,떡류,239.92,6.28,6.72,38.58,단맛,곡물,꿀,끓이기
D018013,팥시루떡,곡류 및 서류,떡류,224.23,3.77,1.85,48.13,단맛,곡물,설탕,끓이기
D018014,팥찹쌀떡,곡류 및 서류,떡류,294.75,5.06,2.53,62.93,단맛,쌀,설탕,찌기
D000112,경단(깨),곡류 및 서류,떡류,319.47,4.44,0.54,74.22,단맛,쌀,깨소금,끓이기
D000113,경단(콩),곡류 및 서류,떡류,314.32,3.51,0.46,74.03,단맛,곡물,설탕,끓이기
D000114,기피편,곡류 및 서류,떡류,219.97,5.45,0.25,48.99,단맛,밀가루,마늘,알 수 없음
D000116,녹두시루떡,곡류 및 서류,떡류,246.07,7.74,2.53,48.08,단맛,곡물,설탕,끓이기
D000117,메밀전병,곡류 및 서류,곡류,167.83,6.18,6.29,21.62,담백한맛,곡물,부추,굽기
D000119,무지개떡,곡류 및 서류,떡류,228.97,3.53,0.31,53.01,단맛,쌀,설탕,찌기
D000121,송편(깨),곡류 및 서류,떡류,224.15,4.92,2.74,44.96,단맛,쌀,깨소금,찌기
D000122,송편(콩),곡류 및 서류,떡류,194.33,5.24,0.75,41.66,단맛,쌀,설탕,찌기
D000123,수수부꾸미,곡류 및 서류,곡류,247.89,5.73,6.29,42.1,매운맛,곡물,고추장,볶기
D000124,수수팥떡,곡류 및 서류,떡류,204.24,6.7,0.59,43.03,단맛,곡물,설탕,찌기
D000125,시루떡,곡류 및 서류,떡류,217.48,5.47,0.61,47.54,담백한맛,쌀,설탕,찌기
D000126,쑥떡,곡류 및 서류,떡류,248.63,3.36,0.4,57.89,단맛,채소류,설탕,찌기
D000129,절편,곡류 및 서류,떡류,192.89,3.64,0.28,43.94,단맛,밀가루,진간장,찌기
D000131,찹쌀떡,곡류 및 서류,떡류,276.87,3.26,0.15,65.61,단맛,쌀,설탕,찌기
D018586,제주도 빙떡 & 귤간장소스,곡류 및 서류,떡류,94.02,1.33,0.97,20,단맛,쌀,맛간장,끓이기
D018015,가자미구이,구이류,어패류구이,245.31,37.4,10.04,1.32,담백한맛,해산물,마늘,굽기
D018016,간장양념닭다리구이,구이류,육류구이,740.27,68.9,46.94,10.56,짠맛,커피,마늘,굽기
D018017,갈치구이,구이류,어패류구이,275.69,43.07,10.95,1.2,담백한맛,해산물,마늘,굽기
D018018,고등어구이,구이류,어패류구이,551.8,47.65,39.95,0.4,담백한맛,해산물,마늘,굽기
D018019,고등어석쇠구이,구이류,어패류구이,679.62,46.75,51.37,7.57,담백한맛,해산물,마늘,굽기
D018020,굴비구이,구이류,어패류구이,291.73,28.02,19.9,0.14,담백한맛,해산물,마늘,굽기
D018021,꽁치구이,구이류,어패류구이,604.84,49.36,43.37,4.27,담백한맛,해산물,마늘,굽기
D018022,닭고기대파꼬치구이,구이류,육류구이,416.63,30.34,24.99,17.59,담백한맛,커피,대파,굽기
D018023,닭구이,구이류,육류구이,872.3,89.1,45.54,26.52,담백한맛,커피,마늘,굽기
D018024,닭발구이,구이류,육류구이,431.43,39.92,20.71,21.34,매운맛,커피,마늘,굽기
